Movie_Name,Rating,Voting_Count,Duration,Genre
Trap,5.8,136000.0,105,Crime
Pushpa: The Rule - Part 2,6.1,55000.0,201,Crime
Longlegs,6.6,183000.0,101,Crime
Freaky Tales,7.2,906.0,106,Crime
Juror #2,7.0,95000.0,114,Crime
The Beekeeper,6.3,155000.0,105,Crime
Carry-On,6.5,163000.0,119,Crime
Riff Raff,5.7,2700.0,103,Crime
The Order,6.8,40000.0,116,Crime
Emilia Pérez,5.4,87000.0,132,Crime
MaXXXine,6.2,69000.0,103,Crime
Despicable Me 4,6.2,64000.0,94,Crime
Wolfs,6.5,81000.0,108,Crime
The Crow,4.7,34000.0,111,Crime
Rebel Ridge,6.8,87000.0,131,Crime
Lucky Baskhar,8.0,31000.0,148,Crime
Bad Boys: Ride or Die,6.5,99000.0,115,Crime
Marco,6.8,21000.0,145,Crime
Love Lies Bleeding,6.6,56000.0,104,Crime
The Girl with the Needle,7.5,13000.0,123,Crime
Monkey Man,6.8,91000.0,121,Crime
The Seed of the Sacred Fig,7.6,13000.0,167,Crime
Santosh,7.0,1800.0,128,Crime
Toofan,7.4,7600.0,145,Crime
Misericordia,6.9,1900.0,104,Crime
Sleeping Dogs,6.2,21000.0,110,Crime
Lift,5.5,49000.0,107,Crime
Beverly Hills Cop: Axel F,6.4,81000.0,118,Crime
Maharaja,8.4,66000.0,141,Crime
The Instigators,6.2,37000.0,101,Crime
Beating Hearts,7.0,4500.0,166,Crime
Twilight of the Warriors: Walled In,7.0,9300.0,126,Crime
Greedy People,6.2,11000.0,112,Crime
Absolution,5.2,7700.0,112,Crime
Killer Heat,5.6,13000.0,95,Crime
Long Gone Heroes,5.2,1000.0,101,Crime
Brothers,5.4,13000.0,89,Crime
The Unholy Trinity,7.9,49.0,93,Crime
Force of Nature: The Dry 2,5.8,7000.0,120,Crime
Trigger Warning,4.6,19000.0,106,Crime
Armor,3.6,3800.0,89,Crime
The Shadow Strays,6.5,9100.0,144,Crime
The Silent Hour,6.1,7300.0,99,Crime
Duchess,4.6,1300.0,114,Crime
Do Patti,6.5,68000.0,126,Crime
Boneyard,4.1,5000.0,96,Crime
Hitpig,5.1,909.0,86,Crime
Harbin,6.4,569.0,108,Crime
Mea Culpa,4.2,7000.0,120,Crime
The Thicket,5.8,3000.0,108,Crime
The Calendar Killer,5.4,4100.0,97,Crime
Lake George,6.4,959.0,118,Crime
Baby John,5.3,17000.0,159,Crime
Megamind vs The Doom Syndicate,2.5,5500.0,83,Crime
Sikandar Ka Muqaddar,6.0,24000.0,142,Crime
Viduthalai Part 2,7.9,16000.0,170,Crime
Damaged,4.7,7200.0,97,Crime
Dead Sea,5.3,5300.0,88,Crime
Blackwater Lane,4.6,1800.0,108,Crime
Sector 36,7.1,25000.0,123,Crime
In Youth We Trust,6.8,368.0,132,Crime
The Quiet Ones,6.4,658.0,110,Crime
Reputation,9.3,8.0,83,Crime
Justice,6.3,3800.0,113,Crime
Trouble,6.2,6700.0,98,Crime
Dead Wrong,3.9,257.0,104,Crime
Depravity,4.3,973.0,117,Crime
Singham Again,4.8,75000.0,144,Crime
Bangkok Dog,4.8,156.0,85,Crime
The Thundermans Return,5.0,1800.0,70,Crime
The Shameless,5.7,214.0,114,Crime
Colors of Evil: Red,6.4,8400.0,111,Crime
The Roundup: Punishment,6.6,5200.0,109,Crime
Detained,4.9,1500.0,97,Crime
Thalavan,7.2,4600.0,131,Crime
Jönssonligan kommer tillbaka,5.9,1300.0,104,Crime
Jigra,6.0,23000.0,153,Crime
Strictly Confidential,2.8,840.0,94,Crime
Maharaj,6.5,15000.0,131,Crime
Golam,7.2,5600.0,120,Crime
"I, the Executioner",6.3,1700.0,118,Crime
Badland Hunters,5.9,12000.0,107,Crime
The Clean Up Crew,4.1,1100.0,95,Crime
Bougainvillea,6.4,3100.0,138,Crime
Officer Black Belt,6.8,8100.0,108,Crime
Code 8: Part II,5.7,16000.0,100,Crime
Pani,6.9,2900.0,143,Crime
The Courier,6.0,4400.0,101,Crime
Dead Mail,6.7,298.0,106,Crime
Bogota: City of the Lost,5.4,1900.0,108,Crime
Rats!,6.5,116.0,85,Crime
Barron's Cove,8.2,28.0,116,Crime
Anweshippin Kandethum,7.4,10000.0,142,Crime
The Soul Eater,5.9,2500.0,108,Crime
Drugstore June,5.3,1700.0,91,Crime
Ulajh,6.0,24000.0,150,Crime
The Kingdom,6.9,720.0,112,Crime
Darkness of Man,4.8,3200.0,109,Crime
The Trainer,7.0,53.0,95,Crime
Sicilian Letters,6.1,661.0,122,Crime
Inside,7.1,230.0,104,Crime
Marmalade,6.3,3500.0,99,Crime
Ride,5.9,388.0,114,Crime
Broken Rage,6.1,1400.0,62,Crime
King Ivory,7.3,63.0,130,Crime
Cult Killer,4.8,2800.0,105,Crime
Compulsion,6.3,12.0,94,Crime
What Jennifer Did,6.1,11000.0,87,Crime
Laws of Man,5.5,1000.0,98,Crime
City Hunter,6.3,5600.0,102,Crime
Dengeler,5.4,184.0,123,Crime
Hijack 1971,6.8,3300.0,100,Crime
Revolver,5.4,847.0,114,Crime
First Shift,4.4,2000.0,89,Crime
Guns & Moses,8.1,44.0,94,Crime
To a Land Unknown,7.3,470.0,105,Crime
Lover Stalker Killer,7.0,13000.0,90,Crime
The Sabarmati Report,6.4,24000.0,127,Crime
El Jockey,6.4,1600.0,96,Crime
Crescent City,3.9,1300.0,103,Crime
Freedom,5.9,1400.0,110,Crime
Maldoror,7.0,584.0,155,Crime
How to Rob a Bank,6.6,4200.0,88,Crime
Here Now,4.9,393.0,118,Crime
Hellhound,4.3,502.0,103,Crime
5lbs of Pressure,5.3,1600.0,111,Crime
Wanted Man,4.8,2600.0,85,Crime
Vettaiyan,7.0,39000.0,163,Crime
Nice Girls,4.2,1200.0,92,Crime
Strangers,4.3,385.0,106,Crime
Una ballena,6.0,73.0,108,Crime
Saripodhaa Sanivaaram,7.0,9000.0,166,Crime
Sorgavaasal,6.6,1300.0,138,Crime
The Park Maniac,4.8,1600.0,103,Crime
Shoutai,6.9,540.0,120,Crime
Boundless,5.6,1900.0,121,Crime
Untamed Royals,4.6,631.0,99,Crime
In Her Place,6.2,1500.0,96,Crime
Loverboy: Emoties Uit,6.4,503.0,98,Crime
Roadkill,3.7,679.0,90,Crime
Belle,5.8,57.0,100,Crime
Bloodline Killer,3.8,4400.0,105,Crime
Ferry 2,5.6,3800.0,94,Crime
Døde menn går på ski,5.4,228.0,89,Crime
Savi,6.2,35000.0,126,Crime
Faultline,5.7,89.0,92,Crime
Jailbreak: Love on the Run,6.4,3200.0,88,Crime
Raayan,6.5,11000.0,145,Crime
Kingsmen,6.4,47.0,72,Crime
Kaulayaw,4.1,160.0,95,Crime
The Lockdown,4.3,605.0,117,Crime
